MODZCTA,Month,Date,Year,Hour,Count,Latitude,Longitude
10001.0,1,1,2024,11,1,-73.99713787189704,40.75068819675726
10001.0,1,5,2024,14,2,-73.99713787189704,40.75068819675726
10001.0,1,6,2024,14,1,-73.99713787189704,40.75068819675726
10001.0,1,7,2025,15,1,-73.99713787189704,40.75068819675726
10001.0,1,8,2025,13,1,-73.99713787189704,40.75068819675726
10001.0,1,10,2024,18,1,-73.99713787189704,40.75068819675726
10001.0,1,12,2025,3,1,-73.99713787189704,40.75068819675726
10001.0,1,15,2025,15,1,-73.99713787189704,40.75068819675726
10001.0,1,16,2025,14,1,-73.99713787189704,40.75068819675726
10001.0,1,18,2023,22,1,-73.99713787189704,40.75068819675726
10001.0,1,18,2025,16,1,-73.99713787189704,40.75068819675726
10001.0,1,19,2024,17,1,-73.99713787189704,40.75068819675726
10001.0,1,21,2025,12,1,-73.99713787189704,40.75068819675726
10001.0,1,22,2025,14,1,-73.99713787189704,40.75068819675726
10001.0,1,26,2023,8,1,-73.99713787189704,40.75068819675726
10001.0,1,27,2025,6,1,-73.99713787189704,40.75068819675726
10001.0,1,27,2025,10,1,-73.99713787189704,40.75068819675726
10001.0,1,28,2024,17,1,-73.99713787189704,40.75068819675726
10001.0,1,30,2023,0,1,-73.99713787189704,40.75068819675726
10001.0,1,30,2023,8,1,-73.99713787189704,40.75068819675726
10001.0,1,30,2025,19,1,-73.99713787189704,40.75068819675726
10001.0,1,31,2023,12,1,-73.99713787189704,40.75068819675726
10001.0,1,31,2024,20,1,-73.99713787189704,40.75068819675726
10001.0,1,31,2025,11,1,-73.99713787189704,40.75068819675726
10001.0,2,2,2023,22,1,-73.99713787189704,40.75068819675726
10001.0,2,4,2023,14,1,-73.99713787189704,40.75068819675726
10001.0,2,6,2023,23,1,-73.99713787189704,40.75068819675726
10001.0,2,10,2023,20,1,-73.99713787189704,40.75068819675726
10001.0,2,10,2023,21,1,-73.99713787189704,40.75068819675726
10001.0,2,12,2023,18,2,-73.99713787189704,40.75068819675726
10001.0,2,13,2024,3,1,-73.99713787189704,40.75068819675726
10001.0,2,19,2023,10,1,-73.99713787189704,40.75068819675726
10001.0,2,19,2023,14,1,-73.99713787189704,40.75068819675726
10001.0,2,19,2024,19,1,-73.99713787189704,40.75068819675726
10001.0,2,20,2024,19,1,-73.99713787189704,40.75068819675726
10001.0,2,21,2023,7,1,-73.99713787189704,40.75068819675726
10001.0,2,21,2024,9,1,-73.99713787189704,40.75068819675726
10001.0,2,25,2023,17,1,-73.99713787189704,40.75068819675726
10001.0,2,26,2023,11,1,-73.99713787189704,40.75068819675726
10001.0,2,27,2023,10,1,-73.99713787189704,40.75068819675726
10001.0,2,27,2024,14,1,-73.99713787189704,40.75068819675726
10001.0,2,28,2024,11,1,-73.99713787189704,40.75068819675726
10001.0,2,29,2024,21,1,-73.99713787189704,40.75068819675726
10001.0,3,1,2024,18,1,-73.99713787189704,40.75068819675726
10001.0,3,2,2024,1,1,-73.99713787189704,40.75068819675726
10001.0,3,4,2024,17,1,-73.99713787189704,40.75068819675726
10001.0,3,8,2023,13,1,-73.99713787189704,40.75068819675726
10001.0,3,12,2023,12,1,-73.99713787189704,40.75068819675726
