zipcode,risk,count,area_mile2
10001,high,783,0.6238205600653409
10001,low,96,0.6238205600653409
10001,medium,108,0.6238205600653409
10002,high,1421,0.8222926726736889
10002,low,155,0.8222926726736889
10002,medium,213,0.8222926726736889
10003,high,1767,0.5716029559400725
10003,low,62,0.5716029559400725
10003,medium,162,0.5716029559400725
10004,high,254,0.45557237903839715
10004,low,12,0.45557237903839715
10004,medium,13,0.45557237903839715
10005,high,50,0.07286788853704876
10005,low,5,0.07286788853704876
10005,medium,9,0.07286788853704876
10006,high,46,0.09676877345281433
10006,low,7,0.09676877345281433
10006,medium,8,0.09676877345281433
10007,high,190,0.15989637750471086
10007,low,20,0.15989637750471086
10007,medium,30,0.15989637750471086
10009,high,1174,0.616721746708392
10009,low,142,0.616721746708392
10009,medium,146,0.616721746708392
10010,high,526,0.368759165706246
10010,low,30,0.368759165706246
10010,medium,122,0.368759165706246
10011,high,1946,0.6475562466393168
10011,low,90,0.6475562466393168
10011,medium,191,0.6475562466393168
10012,high,1120,0.3239512809365062
10012,low,71,0.3239512809365062
10012,medium,72,0.3239512809365062
10013,high,1461,0.5443722168920337
10013,low,93,0.5443722168920337
10013,medium,132,0.5443722168920337
10014,high,1932,0.4848852326135649
10014,low,80,0.4848852326135649
10014,medium,138,0.4848852326135649
10016,high,1115,0.5497849629703448
10016,low,67,0.5497849629703448
10016,medium,201,0.5497849629703448
10017,high,291,0.2978961214087118
10017,low,38,0.2978961214087118
10017,medium,137,0.2978961214087118
10018,high,477,0.3440322425450146
10018,low,61,0.3440322425450146
10018,medium,48,0.3440322425450146
10019,high,872,0.6588856657442167
10019,low,62,0.6588856657442167
10019,medium,225,0.6588856657442167
10020,high,11,
10020,low,2,
10020,medium,6,
10021,high,1005,0.35655871817843704
10021,low,39,0.35655871817843704
10021,medium,163,0.35655871817843704
10022,high,749,0.4434095164839575
10022,low,57,0.4434095164839575
10022,medium,270,0.4434095164839575
10023,high,1159,0.9692812207582483
10023,low,27,0.9692812207582483
10023,medium,118,0.9692812207582483
10024,high,1732,0.8851701319655615
10024,low,23,0.8851701319655615
10024,medium,77,0.8851701319655615
10025,high,1537,0.8888578301583931
10025,low,45,0.8888578301583931
10025,medium,135,0.8888578301583931
10026,high,891,0.3832928587936338
10026,low,106,0.3832928587936338
10026,medium,43,0.3832928587936338
10027,high,1930,0.9424427522770583
10027,low,192,0.9424427522770583
10027,medium,126,0.9424427522770583
10028,high,1025,0.31657407488247447
10028,low,29,0.31657407488247447
10028,medium,142,0.31657407488247447
10029,high,1248,1.1533335127649469
10029,low,137,1.1533335127649469
10029,medium,222,1.1533335127649469
10030,high,1103,0.2772643970436592
10030,low,87,0.2772643970436592
