incidi,latitude,longitude,W_OL,W_OM,W_OH,zipcode
10,40.8230751,-73.919048,1,1,1,10451.0
2,40.6871742,-73.9312634,1,1,1,11221.0
8,40.6619964,-73.9112273,1,1,2,11212.0
2,40.6871742,-73.9312634,1,1,2,11221.0
10,40.8230751,-73.919048,1,1,3,10451.0
2,40.6871742,-73.9312634,1,1,3,11221.0
2,40.6871742,-73.9312634,1,1,4,11221.0
8,40.6619964,-73.9112273,1,1,4,11212.0
2,40.6871742,-73.9312634,1,1,5,11221.0
8,40.6619964,-73.9112273,1,1,5,11212.0
8,40.6619964,-73.9112273,1,2,1,11212.0
2,40.6871742,-73.9312634,1,2,1,11221.0
10,40.8230751,-73.919048,1,2,2,10451.0
2,40.6871742,-73.9312634,1,2,2,11221.0
10,40.8230751,-73.919048,1,2,3,10451.0
2,40.6871742,-73.9312634,1,2,3,11221.0
10,40.8230751,-73.919048,1,2,4,10451.0
2,40.6871742,-73.9312634,1,2,4,11221.0
10,40.8230751,-73.919048,1,2,5,10451.0
2,40.6871742,-73.9312634,1,2,5,11221.0
10,40.8230751,-73.919048,1,3,1,10451.0
2,40.6871742,-73.9312634,1,3,1,11221.0
8,40.6619964,-73.9112273,1,3,2,11212.0
2,40.6871742,-73.9312634,1,3,2,11221.0
10,40.8230751,-73.919048,1,3,3,10451.0
2,40.6871742,-73.9312634,1,3,3,11221.0
10,40.8230751,-73.919048,1,3,4,10451.0
2,40.6871742,-73.9312634,1,3,4,11221.0
10,40.8230751,-73.919048,1,3,5,10451.0
2,40.6871742,-73.9312634,1,3,5,11221.0
10,40.8230751,-73.919048,1,4,1,10451.0
2,40.6871742,-73.9312634,1,4,1,11221.0
10,40.8230751,-73.919048,1,4,2,10451.0
2,40.6871742,-73.9312634,1,4,2,11221.0
10,40.8230751,-73.919048,1,4,3,10451.0
2,40.6871742,-73.9312634,1,4,3,11221.0
10,40.8230751,-73.919048,1,4,4,10451.0
2,40.6871742,-73.9312634,1,4,4,11221.0
10,40.8230751,-73.919048,1,4,5,10451.0
2,40.6871742,-73.9312634,1,4,5,11221.0
10,40.8230751,-73.919048,1,5,1,10451.0
2,40.6871742,-73.9312634,1,5,1,11221.0
10,40.8230751,-73.919048,1,5,2,10451.0
2,40.6871742,-73.9312634,1,5,2,11221.0
10,40.8230751,-73.919048,1,5,3,10451.0
2,40.6871742,-73.9312634,1,5,3,11221.0
2,40.6871742,-73.9312634,1,5,4,11221.0
8,40.6619964,-73.9112273,1,5,4,11212.0
10,40.8230751,-73.919048,1,5,5,10451.0
2,40.6871742,-73.9312634,1,5,5,11221.0
10,40.8230751,-73.919048,2,1,1,10451.0
2,40.6871742,-73.9312634,2,1,1,11221.0
8,40.6619964,-73.9112273,2,1,2,11212.0
2,40.6871742,-73.9312634,2,1,2,11221.0
8,40.6619964,-73.9112273,2,1,3,11212.0
2,40.6871742,-73.9312634,2,1,3,11221.0
8,40.6619964,-73.9112273,2,1,4,11212.0
2,40.6871742,-73.9312634,2,1,4,11221.0
8,40.6619964,-73.9112273,2,1,5,11212.0
2,40.6871742,-73.9312634,2,1,5,11221.0
2,40.6871742,-73.9312634,2,2,1,11221.0
8,40.6619964,-73.9112273,2,2,1,11212.0
10,40.8230751,-73.919048,2,2,2,10451.0
2,40.6871742,-73.9312634,2,2,2,11221.0
2,40.6871742,-73.9312634,2,2,3,11221.0
8,40.6619964,-73.9112273,2,2,3,11212.0
8,40.6619964,-73.9112273,2,2,4,11212.0
2,40.6871742,-73.9312634,2,2,4,11221.0
8,40.6619964,-73.9112273,2,2,5,11212.0
2,40.6871742,-73.9312634,2,2,5,11221.0
2,40.6871742,-73.9312634,2,3,1,11221.0
8,40.6619964,-73.9112273,2,3,1,11212.0
10,40.8230751,-73.919048,2,3,2,10451.0
2,40.6871742,-73.9312634,2,3,2,11221.0
10,40.8230751,-73.919048,2,3,3,10451.0
2,40.6871742,-73.9312634,2,3,3,11221.0
8,40.6619964,-73.9112273,2,3,4,11212.0
2,40.6871742,-73.9312634,2,3,4,11221.0
8,40.6619964,-73.9112273,2,3,5,11212.0
2,40.6871742,-73.9312634,2,3,5,11221.0
8,40.6619964,-73.9112273,2,4,1,11212.0
2,40.6871742,-73.9312634,2,4,1,11221.0
10,40.8230751,-73.919048,2,4,2,10451.0
2,40.6871742,-73.9312634,2,4,2,11221.0
2,40.6871742,-73.9312634,2,4,3,11221.0
8,40.6619964,-73.9112273,2,4,3,11212.0
10,40.8230751,-73.919048,2,4,4,10451.0
2,40.6871742,-73.9312634,2,4,4,11221.0
2,40.6871742,-73.9312634,2,4,5,11221.0
8,40.6619964,-73.9112273,2,4,5,11212.0
10,40.8230751,-73.919048,2,5,1,10451.0
2,40.6871742,-73.9312634,2,5,1,11221.0
10,40.8230751,-73.919048,2,5,2,10451.0
2,40.6871742,-73.9312634,2,5,2,11221.0
8,40.6619964,-73.9112273,2,5,3,11212.0
2,40.6871742,-73.9312634,2,5,3,11221.0
2,40.6871742,-73.9312634,2,5,4,11221.0
8,40.6619964,-73.9112273,2,5,4,11212.0
10,40.8230751,-73.919048,2,5,5,10451.0
2,40.6871742,-73.9312634,2,5,5,11221.0
8,40.6619964,-73.9112273,3,1,1,11212.0
2,40.6871742,-73.9312634,3,1,1,11221.0
10,40.8230751,-73.919048,3,1,2,10451.0
2,40.6871742,-73.9312634,3,1,2,11221.0
10,40.8230751,-73.919048,3,1,3,10451.0
2,40.6871742,-73.9312634,3,1,3,11221.0
8,40.6619964,-73.9112273,3,1,4,11212.0
2,40.6871742,-73.9312634,3,1,4,11221.0
10,40.8230751,-73.919048,3,1,5,10451.0
2,40.6871742,-73.9312634,3,1,5,11221.0
10,40.8230751,-73.919048,3,2,1,10451.0
2,40.6871742,-73.9312634,3,2,1,11221.0
10,40.8230751,-73.919048,3,2,2,10451.0
2,40.6871742,-73.9312634,3,2,2,11221.0
