zipcode,risk,area_mile2,count
10001.0,high,783,783
10001.0,low,96,96
10001.0,medium,108,108
10002.0,high,1421,1421
10002.0,low,155,155
10002.0,medium,213,213
10003.0,high,1767,1767
10003.0,low,62,62
10003.0,medium,162,162
10004.0,high,254,254
10004.0,low,12,12
10004.0,medium,13,13
10005.0,high,50,50
10005.0,low,5,5
10005.0,medium,9,9
10006.0,high,46,46
10006.0,low,7,7
10006.0,medium,8,8
10007.0,high,190,190
10007.0,low,20,20
10007.0,medium,30,30
10009.0,high,1174,1174
10009.0,low,142,142
10009.0,medium,146,146
10010.0,high,526,526
10010.0,low,30,30
10010.0,medium,122,122
10011.0,high,1946,1946
10011.0,low,90,90
10011.0,medium,191,191
10012.0,high,1120,1120
10012.0,low,71,71
10012.0,medium,72,72
10013.0,high,1461,1461
10013.0,low,93,93
10013.0,medium,132,132
10014.0,high,1932,1932
10014.0,low,80,80
10014.0,medium,138,138
10016.0,high,1115,1115
10016.0,low,67,67
10016.0,medium,201,201
10017.0,high,291,291
10017.0,low,38,38
10017.0,medium,137,137
10018.0,high,477,477
10018.0,low,61,61
10018.0,medium,48,48
10019.0,high,872,872
10019.0,low,62,62
10019.0,medium,225,225
10020.0,high,0,11
10020.0,low,0,2
10020.0,medium,0,6
10021.0,high,1005,1005
10021.0,low,39,39
10021.0,medium,163,163
10022.0,high,749,749
10022.0,low,57,57
10022.0,medium,270,270
10023.0,high,1159,1159
10023.0,low,27,27
10023.0,medium,118,118
10024.0,high,1732,1732
10024.0,low,23,23
10024.0,medium,77,77
10025.0,high,1537,1537
10025.0,low,45,45
10025.0,medium,135,135
10026.0,high,891,891
10026.0,low,106,106
10026.0,medium,43,43
10027.0,high,1930,1930
10027.0,low,192,192
10027.0,medium,126,126
10028.0,high,1025,1025
10028.0,low,29,29
10028.0,medium,142,142
10029.0,high,1248,1248
10029.0,low,137,137
10029.0,medium,222,222
10030.0,high,1103,1103
10030.0,low,87,87
10030.0,medium,59,59
10031.0,high,1514,1514
10031.0,low,49,49
10031.0,medium,68,68
10032.0,high,913,913
10032.0,low,41,41
10032.0,medium,78,78
10033.0,high,667,667
10033.0,low,23,23
10033.0,medium,90,90
10034.0,high,436,436
10034.0,low,77,77
10034.0,medium,117,117
10035.0,high,962,962
10035.0,low,337,337
10035.0,medium,148,148
10036.0,high,858,858
10036.0,low,69,69
10036.0,medium,164,164
10037.0,high,301,301
10037.0,low,28,28
10037.0,medium,67,67
10038.0,high,309,309
10038.0,low,21,21
10038.0,medium,74,74
10039.0,high,279,279
10039.0,low,31,31
10039.0,medium,40,40
10040.0,high,402,402
10040.0,low,20,20
10040.0,medium,54,54
10044.0,high,7,7
10044.0,low,11,11
10044.0,medium,49,49
10045.0,high,0,1
10055.0,medium,0,1
10065.0,high,966,966
10065.0,low,73,73
10065.0,medium,168,168
10069.0,high,6,6
10069.0,low,2,2
10069.0,medium,7,7
10075.0,high,574,574
10075.0,low,26,26
10075.0,medium,91,91
10103.0,high,0,2
10103.0,low,0,1
10105.0,high,0,1
10105.0,low,0,1
10105.0,medium,0,3
10106.0,high,0,1
10106.0,medium,0,1
10110.0,high,0,1
10112.0,high,0,1
10118.0,high,0,1
10119.0,medium,0,1
10120.0,high,0,1
10121.0,low,0,3
10122.0,high,0,1
10123.0,high,0,3
10128.0,high,1167,1167
10128.0,low,46,46
10128.0,medium,177,177
10151.0,high,0,1
10155.0,low,0,1
10155.0,medium,0,1
10158.0,medium,0,1
10165.0,high,0,1
10169.0,high,0,1
10170.0,high,0,1
10175.0,high,0,1
10176.0,high,0,1
10271.0,high,0,1
10278.0,medium,0,2
10279.0,high,1,1
10280.0,high,22,22
10280.0,low,1,1
10280.0,medium,2,2
10281.0,medium,0,3
10282.0,high,10,10
10282.0,low,9,9
10282.0,medium,4,4
10301.0,high,5212,5212
10301.0,low,1132,1132
10301.0,medium,2586,2586
10302.0,high,3912,3912
10302.0,low,717,717
10302.0,medium,1243,1243
10303.0,high,2406,2406
10303.0,low,2124,2124
10303.0,medium,2289,2289
10304.0,high,3994,3994
10304.0,low,2802,2802
10304.0,medium,3916,3916
10305.0,high,3356,3356
10305.0,low,3521,3521
10305.0,medium,5141,5141
10306.0,high,4012,4012
10306.0,low,3913,3913
10306.0,medium,10678,10678
10307.0,high,1572,1572
10307.0,low,2064,2064
10307.0,medium,1161,1161
10308.0,high,1555,1555
10308.0,low,1611,1611
10308.0,medium,5987,5987
10309.0,high,1261,1261
10309.0,low,5310,5310
10309.0,medium,4198,4198
10310.0,high,5367,5367
10310.0,low,997,997
10310.0,medium,1796,1796
10312.0,high,1394,1394
10312.0,low,5803,5803
10312.0,medium,12363,12363
10314.0,high,4454,4454
10314.0,low,4265,4265
10314.0,medium,17580,17580
10451.0,high,707,707
10451.0,low,339,339
10451.0,medium,163,163
10452.0,high,1040,1040
10452.0,low,280,280
10452.0,medium,129,129
10453.0,high,1604,1604
10453.0,low,434,434
10453.0,medium,142,142
10454.0,high,1134,1134
10454.0,low,486,486
10454.0,medium,174,174
10455.0,high,1061,1061
10455.0,low,553,553
10455.0,medium,195,195
10456.0,high,1807,1807
10456.0,low,711,711
10456.0,medium,259,259
10457.0,high,1918,1918
10457.0,low,613,613
10457.0,medium,355,355
10458.0,high,2419,2419
10458.0,low,331,331
10458.0,medium,156,156
10459.0,high,1212,1212
10459.0,low,1123,1123
10459.0,medium,242,242
10460.0,high,2087,2087
10460.0,low,790,790
10460.0,medium,294,294
10461.0,high,5853,5853
10461.0,low,529,529
10461.0,medium,3054,3054
10462.0,high,3354,3354
10462.0,low,381,381
10462.0,medium,1740,1740
10463.0,high,1679,1679
10463.0,low,219,219
10463.0,medium,739,739
10464.0,high,1485,1485
10464.0,low,134,134
10464.0,medium,478,478
10465.0,high,5278,5278
10465.0,low,953,953
10465.0,medium,4757,4757
10466.0,high,6184,6184
10466.0,low,896,896
10466.0,medium,4164,4164
10467.0,high,3805,3805
10467.0,low,494,494
10467.0,medium,1198,1198
10468.0,high,1469,1469
10468.0,low,173,173
10468.0,medium,165,165
10469.0,high,4067,4067
10469.0,low,1094,1094
10469.0,medium,7942,7942
10470.0,high,2006,2006
10470.0,low,163,163
10470.0,medium,695,695
10471.0,high,1421,1421
10471.0,low,161,161
10471.0,medium,956,956
10472.0,high,3495,3495
10472.0,low,300,300
10472.0,medium,1279,1279
10473.0,high,2277,2277
10473.0,low,1332,1332
10473.0,medium,2491,2491
10474.0,high,716,716
10474.0,low,244,244
10474.0,medium,347,347
10475.0,high,300,300
10475.0,low,221,221
10475.0,medium,600,600
10803.0,high,5,5
10803.0,low,5,5
10803.0,medium,20,20
11001.0,high,492,492
11001.0,low,73,73
11001.0,medium,1395,1395
11004.0,high,111,111
11004.0,low,112,112
11004.0,medium,4809,4809
11005.0,low,3,3
11005.0,medium,10,10
11021.0,high,7,7
11021.0,medium,4,4
11040.0,high,8,8
11040.0,low,29,29
11040.0,medium,1007,1007
11101.0,high,2188,2188
11101.0,low,514,514
11101.0,medium,780,780
11102.0,high,2379,2379
11102.0,low,356,356
11102.0,medium,719,719
11103.0,high,3920,3920
11103.0,low,216,216
11103.0,medium,1311,1311
11104.0,high,1548,1548
11104.0,low,20,20
11104.0,medium,361,361
11105.0,high,5025,5025
11105.0,low,456,456
11105.0,medium,1893,1893
11106.0,high,2326,2326
11106.0,low,382,382
11106.0,medium,1014,1014
11109.0,high,6,6
11109.0,low,2,2
11109.0,medium,2,2
11201.0,high,2986,2986
11201.0,low,307,307
11201.0,medium,235,235
11203.0,high,11897,11897
11203.0,low,430,430
11203.0,medium,3258,3258
11204.0,high,11215,11215
11204.0,low,559,559
11204.0,medium,1238,1238
11205.0,high,2219,2219
11205.0,low,480,480
11205.0,medium,514,514
11206.0,high,3029,3029
11206.0,low,1312,1312
11206.0,medium,356,356
11207.0,high,8096,8096
11207.0,low,2774,2774
11207.0,medium,1150,1150
11208.0,high,9383,9383
11208.0,low,2051,2051
11208.0,medium,1288,1288
11209.0,high,10745,10745
11209.0,low,212,212
11209.0,medium,896,896
11210.0,high,12062,12062
11210.0,low,319,319
11210.0,medium,842,842
11211.0,high,4713,4713
11211.0,low,682,682
11211.0,medium,382,382
11212.0,high,4700,4700
11212.0,low,645,645
11212.0,medium,2107,2107
11213.0,high,5277,5277
11213.0,low,345,345
11213.0,medium,220,220
11214.0,high,7835,7835
11214.0,low,768,768
11214.0,medium,3526,3526
11215.0,high,8554,8554
11215.0,low,411,411
11215.0,medium,269,269
11216.0,high,5523,5523
11216.0,low,459,459
11216.0,medium,135,135
11217.0,high,3534,3534
11217.0,low,288,288
11217.0,medium,152,152
11218.0,high,7764,7764
11218.0,low,326,326
11218.0,medium,433,433
11219.0,high,7624,7624
11219.0,low,1030,1030
11219.0,medium,1543,1543
11220.0,high,9133,9133
11220.0,low,317,317
11220.0,medium,620,620
11221.0,high,7152,7152
11221.0,low,1734,1734
11221.0,medium,233,233
